added_route_id,trip_id
32,60450417
33,60450417
32,60450443
33,60450443
32,60176774
33,60176774
32,60378688
33,60378688
32,60484064
33,60484064
32,60484090
33,60484090
40,60451054
50,60451054
40,60451140
50,60451140
40,60176331
50,60176331
40,60176335
50,60176335
40,60176337
50,60176337
40,60176340
50,60176340
40,60177451
50,60177451
40,60177452
50,60177452
40,60177453
50,60177453
40,60177454
50,60177454
40,60177455
50,60177455
40,60177456
50,60177456
40,60177457
50,60177457
40,60177458
50,60177458
40,60464710
50,60464710
40,60464711
50,60464711
40,60464712
50,60464712
40,60464713
50,60464713
40,60464714
50,60464714
40,60464715
50,60464715
40,60464716
50,60464716
40,60464717
50,60464717
40,60378245
50,60378245
40,60378249
50,60378249
40,60378251
50,60378251
40,60378254
50,60378254
40,60484698
50,60484698
40,60484784
50,60484784
40,60446536
50,60446536
40,60446537
50,60446537
40,60446538
50,60446538
40,60446539
50,60446539
40,60446540
50,60446540
40,60446541
50,60446541
40,60446542
50,60446542
40,60446543
50,60446543
40,60451029
50,60451029
40,60451042
50,60451042
40,60176336
50,60176336
40,60176338
50,60176338
40,60176339
50,60176339
40,60176341
50,60176341
40,60177450
50,60177450
40,60177459
50,60177459
40,60177460
50,60177460
40,60177461
50,60177461
40,60177462
50,60177462
40,60177463
50,60177463
40,60177464
50,60177464
40,60177465
50,60177465
40,60464709
50,60464709
40,60464718
50,60464718
40,60464719
50,60464719
40,60464720
50,60464720
40,60464721
50,60464721
40,60464722
50,60464722
40,60464723
50,60464723
40,60464724
50,60464724
40,60378250
50,60378250
40,60378252
50,60378252
40,60378253
50,60378253
40,60378255
50,60378255
40,60484676
50,60484676
40,60484688
50,60484688
40,60446535
50,60446535
40,60446544
50,60446544
40,60446545
50,60446545
40,60446546
50,60446546
40,60446547
50,60446547
40,60446548
50,60446548
40,60446549
50,60446549
40,60446550
50,60446550
441,60467980
442,60467980
441,60467982
442,60467982
441,60467984
442,60467984
441,60467986
442,60467986
441,60467988
442,60467988
441,60467990
442,60467990
441,60467991
442,60467991
441,60467993
442,60467993
441,60467995
442,60467995
441,60467997
442,60467997
441,60468017
442,60468017
441,60468028
442,60468028
441,60468357
442,60468357
441,60469640
442,60469640
441,60469659
442,60469659
441,60473993
442,60473993
441,60474012
442,60474012
441,60470114
442,60470114
441,60470116
442,60470116
441,60470118
442,60470118
441,60470120
442,60470120
441,60470122
442,60470122
441,60470124
442,60470124
441,60470125
442,60470125
441,60470127
442,60470127
441,60470129
442,60470129
441,60470131
442,60470131
441,60470151
442,60470151
441,60470162
442,60470162
441,60470470
442,60470470
441,60475122
442,60475122
441,60475141
442,60475141
441,60467979
442,60467979
441,60467981
442,60467981
441,60467983
442,60467983
441,60467985
442,60467985
441,60467987
442,60467987
441,60467989
442,60467989
441,60467992
442,60467992
441,60467994
442,60467994
441,60467996
442,60467996
441,60468003
442,60468003
441,60468013
442,60468013
441,60468014
442,60468014
441,60468031
442,60468031
441,60468033
442,60468033
441,60469639
442,60469639
441,60469642
442,60469642
441,60469681
442,60469681
441,60473992
442,60473992
441,60473995
442,60473995
441,60474034
442,60474034
441,60470113
442,60470113
441,60470115
442,60470115
441,60470117
442,60470117
441,60470119
442,60470119
441,60470121
442,60470121
441,60470123
442,60470123
441,60470126
442,60470126
441,60470128
442,60470128
441,60470130
442,60470130
441,60470137
442,60470137
441,60470147
442,60470147
441,60470148
442,60470148
441,60470165
442,60470165
441,60470167
442,60470167
441,60475121
442,60475121
441,60475124
442,60475124
441,60475163
442,60475163
62,60144289
76,60144289
62,60144301
76,60144301
62,60144304
76,60144304
62,60144326
76,60144326
62,60144327
76,60144327
62,60144328
76,60144328
62,60144333
76,60144333
62,60144338
76,60144338
62,60144314
76,60144314
62,60144342
76,60144342
62,60140821
76,60140821
62,60140823
76,60140823
62,60140825
76,60140825
62,60140827
76,60140827
62,60140829
76,60140829
62,60140831
76,60140831
62,60140834
76,60140834
62,60140836
76,60140836
62,60140838
76,60140838
62,60140840
76,60140840
62,60140842
76,60140842
62,60140844
76,60140844
62,60218610
76,60218610
62,60218612
76,60218612
62,60218614
76,60218614
62,60218616
76,60218616
62,60218618
76,60218618
62,60218620
76,60218620
62,60218623
76,60218623
62,60218625
76,60218625
62,60218627
76,60218627
62,60218629
76,60218629
62,60218631
76,60218631
62,60218633
76,60218633
62,60225484
76,60225484
62,60225496
76,60225496
62,60225499
76,60225499
62,60225521
76,60225521
62,60225522
76,60225522
62,60225523
76,60225523
62,60225528
76,60225528
62,60225533
76,60225533
62,60225509
76,60225509
62,60225537
76,60225537
62,60144287
76,60144287
62,60144307
76,60144307
62,60144332
76,60144332
62,60144336
76,60144336
62,60144343
76,60144343
62,60144300
76,60144300
62,60144303
76,60144303
62,60144331
76,60144331
62,60144334
76,60144334
62,60144341
76,60144341
62,60140822
76,60140822
62,60140824
76,60140824
62,60140826
76,60140826
62,60140828
76,60140828
62,60140830
76,60140830
62,60140832
76,60140832
62,60140833
76,60140833
62,60140835
76,60140835
62,60140837
76,60140837
62,60140839
76,60140839
62,60140841
76,60140841
62,60140843
76,60140843
62,60218611
76,60218611
62,60218613
76,60218613
62,60218615
76,60218615
62,60218617
76,60218617
62,60218619
76,60218619
62,60218621
76,60218621
62,60218622
76,60218622
62,60218624
76,60218624
62,60218626
76,60218626
62,60218628
76,60218628
62,60218630
76,60218630
62,60218632
76,60218632
62,60225482
76,60225482
62,60225502
76,60225502
62,60225527
76,60225527
62,60225531
76,60225531
62,60225538
76,60225538
62,60225495
76,60225495
62,60225498
76,60225498
62,60225526
76,60225526
62,60225529
76,60225529
62,60225536
76,60225536
741,60112732
742,60112732
743,60112732
741,60112733
742,60112733
743,60112733
741,60112736
742,60112736
743,60112736
741,60112738
742,60112738
743,60112738
741,60112740
742,60112740
743,60112740
741,60112742
742,60112742
743,60112742
741,60112743
742,60112743
743,60112743
741,60112745
742,60112745
743,60112745
741,60112748
742,60112748
743,60112748
741,60112750
742,60112750
743,60112750
741,60112752
742,60112752
743,60112752
741,60112753
742,60112753
743,60112753
741,60112755
742,60112755
743,60112755
741,60112757
742,60112757
743,60112757
741,60112759
742,60112759
743,60112759
741,60112761
742,60112761
743,60112761
741,60112763
742,60112763
743,60112763
741,60112765
742,60112765
743,60112765
741,60112767
742,60112767
743,60112767
741,60112769
742,60112769
743,60112769
741,60112771
742,60112771
743,60112771
741,60112773
742,60112773
743,60112773
741,60112775
742,60112775
743,60112775
741,60112777
742,60112777
743,60112777
741,60113121
742,60113121
743,60113121
741,60113122
742,60113122
743,60113122
741,60113123
742,60113123
743,60113123
741,60113124
742,60113124
743,60113124
741,60113604
742,60113604
743,60113604
741,60113605
742,60113605
743,60113605
741,60113606
742,60113606
743,60113606
741,60113634
742,60113634
743,60113634
741,60113635
742,60113635
743,60113635
741,60113636
742,60113636
743,60113636
741,60113637
742,60113637
743,60113637
741,60113638
742,60113638
743,60113638
741,60113639
742,60113639
743,60113639
741,60113658
742,60113658
743,60113658
741,60119410
742,60119410
743,60119410
741,60119414
742,60119414
743,60119414
741,60119418
742,60119418
743,60119418
741,60119419
742,60119419
743,60119419
741,60119423
742,60119423
743,60119423
741,60121128
742,60121128
743,60121128
741,60121129
742,60121129
743,60121129
741,60121130
742,60121130
743,60121130
741,60121137
742,60121137
743,60121137
741,60121148
742,60121148
743,60121148
741,59812675
742,59812675
